imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt3846674,To All the Boys I've Loved Before,2018.0,TV-14,99 min,"Comedy, Drama, Romance",7.0,A teenage girl's secret love letters are exposed and wreak havoc on her love life.,Susan Johnson,/name/nm0426287/,"Lana Condor, 
Noah Centineo, 
Janel Parrish, 
Anna Cathcart","/name/nm7093076/,/name/nm3170207/,/name/nm0663546/,/name/nm8264172/",112048.0,,3
tt12889404,Cyrano,2021.0,PG-13,123 min,"Drama, Musical, Romance",6.4,"Too self-conscious to woo Roxanne himself, wordsmith Cyrano de Bergerac helps young Christian nab her heart through love letters.",Joe Wright,/name/nm0942504/,"Peter Dinklage, 
Haley Bennett, 
Kelvin Harrison Jr., 
Ben Mendelsohn","/name/nm0227759/,/name/nm2247245/,/name/nm5123156/,/name/nm0578853/",12651.0,,2
tt2103267,Adoration,2013.0,R,112 min,"Drama, Romance",6.2,A pair of childhood friends and neighbors fall for each other's sons.,Anne Fontaine,/name/nm0284774/,"Naomi Watts, 
Robin Wright, 
Xavier Samuel, 
James Frecheville","/name/nm0915208/,/name/nm0000705/,/name/nm1882152/,/name/nm3306943/",35341.0,317125.0,3
tt1588173,Warm Bodies,2013.0,PG-13,98 min,"Comedy, Horror, Romance",6.8,"After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.",Jonathan Levine,/name/nm1349522/,"Nicholas Hoult, 
Teresa Palmer, 
John Malkovich, 
Lio Tipton","/name/nm0396558/,/name/nm1954240/,/name/nm0000518/,/name/nm3006818/",234790.0,66380662.0,2
tt1341188,How Do You Know,2010.0,PG-13,121 min,"Comedy, Drama, Romance",5.4,"After being cut from the U.S.A. softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.",James L. Brooks,/name/nm0000985/,"Reese Witherspoon, 
Paul Rudd, 
Owen Wilson, 
Jack Nicholson","/name/nm0000702/,/name/nm0748620/,/name/nm0005562/,/name/nm0000197/",52369.0,30212620.0,3
tt1289403,The Guernsey Literary and Potato Peel Pie Society,2018.0,TV-14,124 min,"Drama, Romance, War",7.3,"In the aftermath of World War II, a writer forms an unexpected bond with the residents of Guernsey Island when she decides to write a book about their experiences during the war.",Mike Newell,/name/nm0001565/,"Jessica Brown Findlay, 
Tom Courtenay, 
Michiel Huisman, 
Katherine Parkinson","/name/nm3726887/,/name/nm0183822/,/name/nm0401264/,/name/nm1817670/",48475.0,,3
tt7125860,If Beale Street Could Talk,2018.0,R,119 min,"Drama, Romance",7.1,A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.,Barry Jenkins,/name/nm1503575/,"KiKi Layne, 
Stephan James, 
Regina King, 
Teyonah Parris","/name/nm8460487/,/name/nm4150847/,/name/nm0005093/,/name/nm3500582/",50156.0,14915773.0,3
tt1666801,The DUFF,2015.0,PG-13,101 min,"Comedy, Romance",6.4,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.",Ari Sandel,/name/nm1847738/,"Mae Whitman, 
Bella Thorne, 
Robbie Amell, 
Allison Janney","/name/nm0926165/,/name/nm2254074/,/name/nm2064412/,/name/nm0005049/",96944.0,34017854.0,3
tt1714206,The Spectacular Now,2013.0,R,95 min,"Drama, Romance",7.1,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",James Ponsoldt,/name/nm1242054/,"Miles Teller, 
Shailene Woodley, 
Kyle Chandler, 
Jennifer Jason Leigh","/name/nm1886602/,/name/nm0940362/,/name/nm0151419/,/name/nm0000492/",156347.0,6851969.0,2
tt1139797,Let the Right One In,2008.0,R,114 min,"Drama, Fantasy, Horror",7.9,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",Tomas Alfredson,/name/nm0019247/,"Kåre Hedebrant, 
Lina Leandersson, 
Per Ragnar, 
Henrik Dahl","/name/nm2968765/,/name/nm2968351/,/name/nm0706537/,/name/nm0196928/",220294.0,2122065.0,1
tt1924396,The Best Offer,2013.0,R,131 min,"Crime, Drama, Mystery",7.8,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Giuseppe Tornatore,/name/nm0868153/,"Geoffrey Rush, 
Jim Sturgess, 
Sylvia Hoeks, 
Donald Sutherland","/name/nm0001691/,/name/nm0836343/,/name/nm1679778/,/name/nm0000661/",121954.0,85433.0,1
tt1306980,50/50,2011.0,R,100 min,"Comedy, Drama, Romance",7.6,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,/name/nm1349522/,"Joseph Gordon-Levitt, 
Seth Rogen, 
Anna Kendrick, 
Bryce Dallas Howard","/name/nm0330687/,/name/nm0736622/,/name/nm0447695/,/name/nm0397171/",334193.0,35014192.0,2
tt1374989,Pride and Prejudice and Zombies,2016.0,PG-13,108 min,"Action, Comedy, Fantasy",5.8,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,Burr Steers,/name/nm0824882/,"Lily James, 
Sam Riley, 
Jack Huston, 
Bella Heathcote","/name/nm4141252/,/name/nm0727165/,/name/nm1658935/,/name/nm2757333/",57893.0,10907291.0,3
tt1240982,Your Highness,2011.0,R,102 min,"Action, Adventure, Comedy",5.5,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",David Gordon Green,/name/nm0337773/,"Danny McBride, 
Natalie Portman, 
James Franco, 
Rasmus Hardiker","/name/nm1144419/,/name/nm0000204/,/name/nm0290556/,/name/nm1727356/",102232.0,21596445.0,1
tt1767354,Odd Thomas,2013.0,PG-13,97 min,"Comedy, Fantasy, Horror",6.8,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.",Stephen Sommers,/name/nm0814085/,"Anton Yelchin, 
Ashley Sommers, 
Leonor Varela, 
Matthew Page","/name/nm0947338/,/name/nm3547112/,/name/nm0007237/,/name/nm0656275/",54645.0,,3
tt1292566,How to Be Single,2016.0,R,110 min,"Comedy, Drama, Romance",6.1,A group of young adults navigate love and relationships in New York City.,Christian Ditter,/name/nm0228542/,"Dakota Johnson, 
Rebel Wilson, 
Leslie Mann, 
Alison Brie","/name/nm0424848/,/name/nm2313103/,/name/nm0005182/,/name/nm1555340/",90288.0,46843513.0,3
tt2639254,A Little Chaos,2014.0,R,117 min,"Drama, Romance",6.5,Two talented landscape artists become romantically entangled while building a garden in King Louis XIV's palace at Versailles.,Alan Rickman,/name/nm0000614/,"Kate Winslet, 
Alan Rickman, 
Stanley Tucci, 
Matthias Schoenaerts","/name/nm0000701/,/name/nm0000614/,/name/nm0001804/,/name/nm0774386/",24113.0,551609.0,3
tt1142988,The Ugly Truth,2009.0,R,96 min,"Comedy, Romance",6.4,An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,Robert Luketic,/name/nm0525659/,"Katherine Heigl, 
Gerard Butler, 
Bree Turner, 
Eric Winter","/name/nm0001337/,/name/nm0124930/,/name/nm0877430/,/name/nm0935721/",222727.0,88915214.0,2
