imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt1673702,A Cat in Paris,2010,PG,70 min,"Animation, Adventure, Comedy",6.9,"In Paris, a cat who lives a secret life as a cat burglar's aide must come to the rescue of Zoe, the little girl he lives with, after she falls into a gangster's clutches.","Jean-Loup Felicioli, 
Alain Gagnol",/name/nm0271246/,"Dominique Blanc, 
Bernadette Lafont, 
Bruno Salomone, 
Jean Benguigui","/name/nm0300944/,/name/nm0086924/,/name/nm0480942/,/name/nm0758912/,/name/nm0071114/",11485.0,309973.0,1
tt3422078,April and the Extraordinary World,2015,PG,105 min,"Animation, Adventure, Comedy",7.2,"It's 1941 but France is trapped in the nineteenth century, governed by steam and Napoleon V, where scientists vanish mysteriously. Avril (Marion Cotillard), a teenage girl, goes in search of her missing scientist parents.","Christian Desmares, 
Franck Ekinci",/name/nm2903634/,"Marion Cotillard, 
Marc-André Grondin, 
Philippe Katerine, 
Jean Rochefort","/name/nm1458457/,/name/nm0182839/,/name/nm0343082/,/name/nm1081573/,/name/nm0734000/",7949.0,294313.0,3
tt1181840,Jack and the Cuckoo-Clock Heart,2013,PG,94 min,"Animation, Adventure, Drama",6.9,"A 19th-century drama about a man whose heart was replaced with a clock when he was born. The situation dictates that he should avoid feeling strong emotions -- love, most of all -- but he just can't keep his feelings under wraps.","Stéphane Berla, 
Mathias Malzieu",/name/nm1071849/,"Mathias Malzieu, 
Olivia Ruiz, 
Grand Corps Malade, 
Jean Rochefort","/name/nm0540962/,/name/nm0540962/,/name/nm1121600/,/name/nm2120560/,/name/nm0734000/",7028.0,,3
tt1920885,Big Fish & Begonia,2016,PG-13,100 min,"Animation, Adventure, Drama",7.0,A 16-year-old girl travels to the human world in the form of a dolphin and forms a connection with a human boy.,"Xuan Liang, 
Chun Zhang",/name/nm4443317/,"Guanlin Ji, 
Shangqing Su, 
Timmy Xu, 
Shulan Pan","/name/nm8082506/,/name/nm4589246/,/name/nm8275833/,/name/nm8275834/,/name/nm8282196/",6205.0,,3
tt2511190,A Talking Cat!?!,2013,Not Rated,85 min,"Comedy, Family, Fantasy",2.1,A sassy feline helps a family resolve its problems.,David DeCoteau,/name/nm0213983/,"Johnny Whitaker, 
Kristine DeBell, 
Justin Cone, 
Janis Valdez","/name/nm0924278/,/name/nm0213374/,/name/nm4009603/,/name/nm5284988/",1644.0,,3
tt14923260,Chupa,II,PG,,"Action, Adventure, Drama",,"While visiting family in Mexico, teenage Alex gains an unlikely companion when he discovers a young chupacabra hiding in his grandpa's shed. To save the mythical creature, Alex and his cousins must embark on the adventure of a lifetime.",Jonás Cuarón,/name/nm0190861/,"Demián Bichir, 
Julio Cesar Cedillo, 
Evan Whitten, 
Alex Knight","/name/nm0065007/,/name/nm0147814/,/name/nm9060911/,/name/nm1790494/",,,3
tt2262345,Long Way North,2015,PG,81 min,"Animation, Adventure, Drama",7.2,"In 1882, a young Russian aristocrat goes on an epic adventure to find out what happened to her grandfather and save her family's reputation.",Rémi Chayé,/name/nm2916570/,"Christa Théret, 
Féodor Atkine, 
Peter Hudson, 
Antony Hickling","/name/nm1817887/,/name/nm0040545/,/name/nm0399940/,/name/nm2917980/",3632.0,,0
tt6818880,Servant of the People 2,2016,,100 min,"Comedy, Family",6.4,"'What if an ordinary man, an honest and principled teacher, becomes the President? Would he be able to survive in the world of high politics, overcome all obstacles and corruption, and confront the oligarchs and all political opponents?'",Aleksey Kiryushchenko,/name/nm1823244/,"Volodymyr Zelenskyy, 
Evgeniy Koshevoy, 
Stanislav Boklan, 
Olha Zhukovtsova-Kyiashko","/name/nm3305952/,/name/nm4915252/,/name/nm0049182/,/name/nm9001131/",861.0,,1
tt1226766,The Great Gilly Hopkins,2015,PG,99 min,"Comedy, Drama, Family",6.5,12-year-old wisecracking Gilly Hopkins finds herself shuffled from foster home to foster home until she meets Maime Trotter.,Stephen Herek,/name/nm0378893/,"Sophie Nélisse, 
Kathy Bates, 
Glenn Close, 
Octavia Spencer","/name/nm4563869/,/name/nm0000870/,/name/nm0000335/,/name/nm0818055/",5065.0,,1
tt2927212,Dear Eleanor,2016,PG-13,89 min,"Comedy, Drama, Family",5.9,"Two teenage girls travel across the U.S. in 1962, during the chaos of the Cuban missile crisis, in search of Eleanor Roosevelt.",Kevin Connolly,/name/nm0175305/,"Liana Liberato, 
Isabelle Fuhrman, 
Josh Lucas, 
Luke Wilson","/name/nm1882929/,/name/nm2265157/,/name/nm0524197/,/name/nm0005561/",1963.0,,3
